raw,short
田（水田）,田
畑（畑、樹園地、採草地、養鶏（牛・豚）場）,畑
山林（樹林地）,山林
水面（河川水面、湖沼、ため池、用水路、濠、運河水面）,水面
その他自然地（原野・牧野、荒れ地（耕作放棄地等自然的状況のもの）、低湿地、河川敷・河原、海浜、湖岸）,その他自然地
住宅用地（住宅、共同住宅、店舗等併用住宅、店舗等併用共同住宅、作業所併用住宅）,住宅用地
商業用地（業務施設、商業施設、宿泊施設、商業系複合施設）,商業用地
工業用地（工場）,工業用地
農林漁業施設用地（農林漁業用施設）,農林漁業施設
公益施設用地（官公庁施設、文教厚生施設、供給処理施設）,公益施設
道路用地（道路、駅前広場、私有地内に存在する沿道用途の「私道」または、私有地の一部分であるものの公共の通行に供されている土地の部分）,道路私道
交通施設用地（運輸倉庫施設）,交通施設
公共空地（公園・緑地、広場、運動場、墓園）,公共空地
その他公的施設用地（防衛施設用地）,その他公的施設
その他①（ゴルフ場）,ゴルフ場
その他②（太陽光発電のシステムを直接整備している土地）,太陽光発電
その他③（平面駐車場）,駐車場
その他④（その他①～③以外の用途に供されている都市的土地利用（建物跡地、資材置場、改変工事中の土地）、法面（道路、造成地等の主利用に含まれない法面））,工事中_法面
低未利用土地（用途に供されていない空地、空家・空き店舗・空施設の存する土地等）,低未利用地
不明,不明
可住地,可住地
非可住地,非可住地
農地（田、畑の区分がない）,農地(区分なし)
宅地（住宅用地、商業用地等の区分が無い）,宅地(区分なし)
道路・鉄軌道敷（道路と交通施設用地が混在）,道路鉄道(混在)
空地（その他①～④の区分が無い）,空地(区分なし)
